#=====================================================
# File created:        Wed-25-Oct-2023-at-01-15-04PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.536347
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2594.4066  0.2609 
   00001    0.6948   -3701.5557  0.2740 
   00002    0.6172   -4426.7938  0.2787 
   00003    0.5956   -5047.8337  0.3014 
   00004    0.5544   -5438.8354  0.3089 
   00005    0.5500   -5747.1895  0.3109 
   00006    0.5452   -6043.2603  0.3283 
   00007    0.5160   -6290.6757  0.3350 
   00008    0.5108   -6493.9072  0.3412 
   00009    0.4924   -6663.4271  0.3454 
   00010    0.4856   -6745.9093  0.3518 
   00011    0.4876   -6811.3064  0.3538 
   00012    0.4916   -6948.5462  0.3606 
   00013    0.4776   -7042.1120  0.3651 
   00014    0.4680   -7160.0719  0.3697 
   00015    0.4712   -7246.6740  0.3824 
   00016    0.4632   -7321.9172  0.3937 
   00017    0.4552   -7398.4435  0.4042 
   00018    0.4756   -7415.3775  0.4134 
   00019    0.4648   -7485.7921  0.4235 
   00020    0.4348   -7506.8030  0.4273 
   00021    0.4424   -7536.3984  0.4269 
   00022    0.4480   -7601.8152  0.4315 
   00023    0.4204   -7647.3853  0.4406 
   00024    0.4348   -7691.9494  0.4369 
   00025    0.4472   -7731.8638  0.4436 
   00026    0.4396   -7753.6252  0.4442 
   00027    0.4328   -7809.2005  0.4471 
   00028    0.4508   -7824.3639  0.4388 
   00029    0.4264   -7819.4420  0.4471 
   00030    0.4476   -7878.4392  0.4486 
   00031    0.4528   -7853.8993  0.4496 
   00032    0.4420   -7890.4701  0.4490 
   00033    0.4296   -7953.8432  0.4508 
   00034    0.4348   -7985.9587  0.4608 
   00035    0.4224   -8009.4441  0.4707 
   00036    0.4500   -8010.1416  0.4749 
   00037    0.4252   -7976.5531  0.4732 
   00038    0.4228   -8021.0743  0.4793 
   00039    0.4152   -7995.6812  0.4795 
   00040    0.4276   -8004.3856  0.4759 
   00041    0.4296   -7994.7957  0.4812 
   00042    0.4220   -7999.7121  0.4864 
   00043    0.4336   -8021.3904  0.4825 
   00044    0.4112   -8039.1569  0.4878 
   00045    0.4352   -8023.1902  0.4884 
   00046    0.4232   -8039.8015  0.4883 
   00047    0.4348   -8016.0421  0.4929 
   00048    0.4420   -8064.7038  0.4962 
   00049    0.4292   -8034.7553  0.4914 
   00050    0.4228   -8037.8760  0.4914 
