#=====================================================
# File created:        Wed-25-Oct-2023-at-01-15-29PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.909355
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2500.8186  0.2577 
   00001    0.6800   -3812.0221  0.2672 
   00002    0.6268   -4617.0061  0.2737 
   00003    0.5776   -5226.4765  0.2719 
   00004    0.5552   -5681.8729  0.2859 
   00005    0.5256   -5999.6802  0.2999 
   00006    0.5356   -6252.8461  0.3027 
   00007    0.4924   -6441.6127  0.3088 
   00008    0.4900   -6659.0123  0.3113 
   00009    0.4856   -6791.1609  0.3132 
   00010    0.5036   -6930.0149  0.3121 
   00011    0.4720   -7053.3418  0.3087 
   00012    0.4624   -7177.0702  0.3127 
   00013    0.4736   -7302.5824  0.3122 
   00014    0.4712   -7376.3648  0.3142 
   00015    0.4388   -7439.6612  0.3141 
   00016    0.4436   -7437.3576  0.3147 
   00017    0.4532   -7486.1983  0.3115 
   00018    0.4684   -7526.0005  0.3226 
   00019    0.4556   -7573.8166  0.3249 
   00020    0.4440   -7639.3176  0.3206 
   00021    0.4420   -7653.6292  0.3260 
   00022    0.4432   -7707.1001  0.3145 
   00023    0.4468   -7788.3968  0.3179 
   00024    0.4384   -7826.8695  0.3140 
   00025    0.4388   -7812.3394  0.3125 
   00026    0.4288   -7876.9936  0.3127 
   00027    0.4328   -7891.0193  0.3145 
   00028    0.4440   -7903.8161  0.3148 
   00029    0.4372   -7974.8897  0.3181 
   00030    0.4284   -7982.2993  0.3284 
   00031    0.4324   -8026.4629  0.3220 
   00032    0.4252   -8041.4375  0.3376 
   00033    0.4180   -8112.3898  0.3410 
   00034    0.4352   -8071.5698  0.3399 
   00035    0.4496   -8056.6811  0.3438 
   00036    0.4244   -8060.6431  0.3424 
   00037    0.4168   -8105.7588  0.3495 
   00038    0.4320   -8101.0167  0.3506 
   00039    0.4440   -8125.6526  0.3507 
   00040    0.4256   -8113.5944  0.3475 
   00041    0.4388   -8148.7683  0.3529 
   00042    0.4276   -8199.2372  0.3497 
   00043    0.4116   -8238.3440  0.3475 
   00044    0.4232   -8223.2134  0.3521 
   00045    0.4284   -8207.2619  0.3479 
   00046    0.4096   -8223.7557  0.3475 
   00047    0.4020   -8238.6278  0.3475 
   00048    0.4236   -8243.9842  0.3495 
   00049    0.4136   -8242.1465  0.3505 
   00050    0.4208   -8250.2566  0.3469 
