#=====================================================
# File created:        Wed-25-Oct-2023-at-04-07-45PM
# Size of lattice:     175x175
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        16.610814
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -30545.1264  0.2541 
   00001    0.6775  -45663.2914  0.2541 
   00002    0.6254  -55635.1578  0.2564 
   00003    0.5808  -62389.9045  0.2583 
   00004    0.5565  -67574.2885  0.2539 
   00005    0.5310  -71659.3967  0.2557 
   00006    0.5228  -75303.4849  0.2549 
   00007    0.5096  -78152.6589  0.2570 
   00008    0.4956  -80399.7220  0.2553 
   00009    0.4875  -82536.6720  0.2568 
   00010    0.4801  -84253.1219  0.2605 
   00011    0.4751  -85698.8416  0.2589 
   00012    0.4716  -86872.3975  0.2588 
   00013    0.4635  -87892.4703  0.2597 
   00014    0.4673  -88944.4105  0.2578 
   00015    0.4563  -89822.7892  0.2575 
   00016    0.4505  -90653.7092  0.2584 
   00017    0.4554  -91274.4321  0.2593 
   00018    0.4564  -91840.4456  0.2582 
   00019    0.4550  -92332.4752  0.2585 
   00020    0.4461  -93020.6877  0.2590 
   00021    0.4503  -93618.4475  0.2588 
   00022    0.4465  -94069.1497  0.2585 
   00023    0.4411  -94390.6878  0.2621 
   00024    0.4371  -94768.2500  0.2611 
   00025    0.4349  -95117.4946  0.2606 
   00026    0.4399  -95270.2795  0.2620 
   00027    0.4341  -95656.9014  0.2606 
   00028    0.4380  -95966.0862  0.2623 
   00029    0.4358  -96118.5810  0.2608 
   00030    0.4374  -96346.6026  0.2618 
   00031    0.4360  -96241.8633  0.2620 
   00032    0.4330  -96730.0851  0.2621 
   00033    0.4301  -96902.9111  0.2605 
   00034    0.4349  -97152.6254  0.2625 
   00035    0.4305  -97443.5013  0.2626 
   00036    0.4333  -97563.8419  0.2635 
   00037    0.4351  -97729.8056  0.2640 
   00038    0.4254  -97809.3858  0.2644 
   00039    0.4288  -97973.6226  0.2654 
   00040    0.4349  -98234.2395  0.2647 
   00041    0.4271  -98219.1105  0.2653 
   00042    0.4250  -98466.6794  0.2644 
   00043    0.4344  -98648.1431  0.2638 
   00044    0.4268  -98869.8281  0.2643 
   00045    0.4253  -98905.2548  0.2642 
   00046    0.4271  -98975.9126  0.2646 
   00047    0.4277  -99248.8916  0.2637 
   00048    0.4269  -99479.4159  0.2644 
   00049    0.4190  -99300.3500  0.2628 
   00050    0.4279  -99352.1608  0.2642 
