#=====================================================
# File created:        Thu-02-Nov-2023-at-04-29-46PM
# Size of lattice:     125x125
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        8.370444
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -15366.8709  0.2627 
   00001    0.6858  -22959.9893  0.2647 
   00002    0.6276  -27941.7184  0.2659 
   00003    0.5825  -31595.7391  0.2714 
   00004    0.5641  -34559.1457  0.2789 
   00005    0.5350  -36555.8129  0.2839 
   00006    0.5222  -38385.4003  0.2888 
   00007    0.5099  -39758.5471  0.2890 
   00008    0.5004  -40883.7054  0.2903 
   00009    0.4941  -41960.7441  0.2961 
   00010    0.4837  -42775.3809  0.2971 
   00011    0.4781  -43507.0858  0.2988 
   00012    0.4782  -44188.5418  0.2975 
   00013    0.4623  -44812.6583  0.2975 
   00014    0.4598  -45227.1726  0.2969 
   00015    0.4671  -45670.7331  0.2977 
   00016    0.4543  -46171.2189  0.3015 
   00017    0.4498  -46639.6500  0.3036 
   00018    0.4522  -46968.9545  0.3053 
   00019    0.4463  -47290.2555  0.3074 
   00020    0.4453  -47503.5680  0.3085 
   00021    0.4454  -47787.8641  0.3112 
   00022    0.4466  -47982.1817  0.3117 
   00023    0.4386  -48141.6387  0.3139 
   00024    0.4501  -48456.9734  0.3144 
   00025    0.4384  -48693.7389  0.3124 
   00026    0.4465  -48755.3470  0.3143 
   00027    0.4390  -48895.8405  0.3148 
   00028    0.4416  -48939.5068  0.3159 
   00029    0.4408  -49014.7598  0.3173 
   00030    0.4312  -49327.4281  0.3181 
   00031    0.4335  -49522.7757  0.3206 
   00032    0.4385  -49522.6262  0.3181 
   00033    0.4259  -49759.7188  0.3220 
   00034    0.4348  -49832.1417  0.3244 
   00035    0.4246  -49894.6514  0.3276 
   00036    0.4319  -50025.2278  0.3285 
   00037    0.4359  -50147.1302  0.3284 
   00038    0.4291  -50136.7349  0.3295 
   00039    0.4328  -50263.5696  0.3308 
   00040    0.4401  -50231.7882  0.3327 
   00041    0.4298  -50370.3507  0.3354 
   00042    0.4284  -50435.2831  0.3378 
   00043    0.4244  -50532.9352  0.3383 
   00044    0.4285  -50602.5930  0.3385 
   00045    0.4258  -50612.6734  0.3409 
   00046    0.4255  -50643.0273  0.3394 
   00047    0.4257  -50760.7659  0.3360 
   00048    0.4214  -50867.5825  0.3369 
   00049    0.4239  -50905.1969  0.3369 
   00050    0.4241  -50992.5752  0.3376 
