#=====================================================
# File created:        Wed-25-Oct-2023-at-03-56-23PM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.735720
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -593.9910  0.2676 
   00001    0.7360    -848.8061  0.2846 
   00002    0.6368   -1016.1052  0.2807 
   00003    0.6464   -1173.4674  0.2768 
   00004    0.5536   -1295.0756  0.2642 
   00005    0.5248   -1384.7708  0.2739 
   00006    0.5344   -1445.0557  0.3019 
   00007    0.5088   -1513.6905  0.2913 
   00008    0.5280   -1567.8979  0.2919 
   00009    0.4688   -1612.1599  0.3028 
   00010    0.4576   -1671.1823  0.3075 
   00011    0.4784   -1693.5918  0.3201 
   00012    0.4928   -1740.8425  0.3468 
   00013    0.4608   -1788.8593  0.3466 
   00014    0.4672   -1824.0267  0.3425 
   00015    0.4480   -1848.4098  0.3590 
   00016    0.4768   -1835.2010  0.3697 
   00017    0.4640   -1893.9491  0.3490 
   00018    0.4496   -1902.7879  0.3457 
   00019    0.4672   -1896.6321  0.3482 
   00020    0.4736   -1919.4698  0.3547 
   00021    0.4544   -1944.5147  0.3596 
   00022    0.4432   -1975.2083  0.3714 
   00023    0.4096   -1979.0734  0.3909 
   00024    0.4528   -1988.9256  0.3947 
   00025    0.4576   -2002.4142  0.4140 
   00026    0.4336   -2003.0596  0.4238 
   00027    0.4544   -1990.4652  0.4161 
   00028    0.4288   -1985.0194  0.4057 
   00029    0.4320   -1978.0040  0.4034 
   00030    0.4576   -1984.7965  0.3874 
   00031    0.4128   -1986.5863  0.3741 
   00032    0.4368   -2018.7342  0.3785 
   00033    0.4208   -2046.8898  0.3741 
   00034    0.3696   -2057.2542  0.3753 
   00035    0.4352   -2072.1559  0.3901 
   00036    0.4208   -2083.4281  0.3982 
   00037    0.4384   -2061.7878  0.3996 
   00038    0.4000   -2080.1411  0.4018 
   00039    0.4416   -2066.1413  0.3945 
   00040    0.4304   -2065.8677  0.4027 
   00041    0.4096   -2073.3579  0.4040 
   00042    0.4272   -2063.2537  0.4160 
   00043    0.4160   -2071.7693  0.4227 
   00044    0.3760   -2068.1113  0.4296 
   00045    0.4176   -2045.7822  0.4197 
   00046    0.4016   -2071.0358  0.4247 
   00047    0.4432   -2092.4500  0.4321 
   00048    0.4672   -2081.5736  0.4368 
   00049    0.4112   -2088.8189  0.4367 
   00050    0.4432   -2087.7905  0.4510 
