#=====================================================
# File created:        Wed-08-Nov-2023-at-02-35-18AM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        6.710209
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5540.3486  0.2562 
   00001    0.6860   -8227.6494  0.2629 
   00002    0.6252   -9965.4180  0.2661 
   00003    0.5833  -11194.5869  0.2556 
   00004    0.5614  -12286.6836  0.2543 
   00005    0.5460  -12933.2598  0.2529 
   00006    0.5239  -13529.7109  0.2513 
   00007    0.5129  -13991.3945  0.2526 
   00008    0.5067  -14450.5469  0.2544 
   00009    0.4999  -14936.0859  0.2520 
   00010    0.4878  -15286.9678  0.2556 
   00011    0.4885  -15490.6768  0.2587 
   00012    0.4821  -15715.0049  0.2587 
   00013    0.4802  -15918.2764  0.2595 
   00014    0.4645  -16087.4697  0.2554 
   00015    0.4724  -16240.8975  0.2571 
   00016    0.4743  -16444.0137  0.2568 
   00017    0.4635  -16550.5234  0.2557 
   00018    0.4791  -16773.8750  0.2514 
   00019    0.4565  -16899.3516  0.2538 
   00020    0.4604  -16938.1445  0.2539 
   00021    0.4491  -17110.7168  0.2516 
   00022    0.4564  -17094.7559  0.2542 
   00023    0.4564  -17218.0195  0.2534 
   00024    0.4487  -17337.6641  0.2546 
   00025    0.4411  -17400.6406  0.2562 
   00026    0.4519  -17380.4199  0.2605 
   00027    0.4551  -17455.7129  0.2590 
   00028    0.4441  -17495.2363  0.2579 
   00029    0.4418  -17512.2734  0.2605 
   00030    0.4300  -17551.1895  0.2544 
   00031    0.4316  -17651.3652  0.2580 
   00032    0.4364  -17710.9648  0.2593 
   00033    0.4380  -17717.1562  0.2605 
   00034    0.4427  -17648.4473  0.2636 
   00035    0.4393  -17775.7520  0.2585 
   00036    0.4395  -17799.0605  0.2631 
   00037    0.4398  -17945.1973  0.2640 
   00038    0.4279  -17901.9902  0.2597 
   00039    0.4416  -17916.7402  0.2641 
   00040    0.4341  -17894.9746  0.2691 
   00041    0.4375  -17932.1367  0.2689 
   00042    0.4350  -17977.1660  0.2725 
   00043    0.4334  -17985.8984  0.2746 
   00044    0.4236  -18078.2070  0.2752 
   00045    0.4300  -18090.0684  0.2748 
   00046    0.4311  -18088.1855  0.2762 
   00047    0.4256  -18078.7031  0.2726 
   00048    0.4325  -18069.2480  0.2747 
   00049    0.4462  -18051.1973  0.2765 
   00050    0.4249  -18058.8672  0.2775 
