LebwohlLasher_vector_np.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.390, Time: 3.869948 s
         4906238 function calls (4891227 primitive calls) in 5.706 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1235    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
    609/4    0.014    0.000    1.828    0.457 <frozen importlib._bootstrap>:1022(_find_and_load)
        8    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap>:1038(_gcd_import)
  890/124    0.003    0.000    1.622    0.013 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     1235    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:125(release)
      609    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      609    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
      609    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1235    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      607    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:198(cb)
      626    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    868/5    0.001    0.000    1.822    0.364 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     4990    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      596    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     1073    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:391(cached)
     1099    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      581    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      516    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      581    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
