#=====================================================
# File created:        Tue-07-Nov-2023-at-05-37-15PM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        6.509595
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22532.9815  0.2560 
   00001    0.6800  -33644.8688  0.2532 
   00002    0.6194  -40607.1347  0.2572 
   00003    0.5852  -45763.9128  0.2582 
   00004    0.5610  -49625.0756  0.2610 
   00005    0.5320  -52747.9386  0.2610 
   00006    0.5167  -54978.9983  0.2675 
   00007    0.5120  -57115.4242  0.2648 
   00008    0.4939  -58997.3956  0.2615 
   00009    0.4874  -60599.0415  0.2609 
   00010    0.4833  -61834.1622  0.2626 
   00011    0.4772  -62967.7115  0.2628 
   00012    0.4709  -64048.1334  0.2628 
   00013    0.4639  -64740.8272  0.2650 
   00014    0.4645  -65485.5619  0.2663 
   00015    0.4557  -66093.5323  0.2689 
   00016    0.4555  -66767.4015  0.2712 
   00017    0.4542  -67356.6865  0.2696 
   00018    0.4450  -67973.7596  0.2679 
   00019    0.4470  -68359.6991  0.2690 
   00020    0.4468  -68734.9850  0.2741 
   00021    0.4480  -69086.2892  0.2728 
   00022    0.4444  -69334.3034  0.2739 
   00023    0.4407  -69699.8672  0.2757 
   00024    0.4414  -69792.1971  0.2785 
   00025    0.4461  -69985.5808  0.2786 
   00026    0.4388  -70220.8764  0.2789 
   00027    0.4409  -70424.3973  0.2785 
   00028    0.4314  -70612.6624  0.2809 
   00029    0.4325  -70748.9625  0.2805 
   00030    0.4304  -70888.9221  0.2818 
   00031    0.4392  -70966.9277  0.2820 
   00032    0.4340  -71194.2533  0.2824 
   00033    0.4300  -71291.1683  0.2817 
   00034    0.4274  -71472.3744  0.2832 
   00035    0.4288  -71600.9375  0.2853 
   00036    0.4347  -71896.0997  0.2853 
   00037    0.4309  -72018.3966  0.2871 
   00038    0.4311  -72073.0096  0.2904 
   00039    0.4266  -72191.7490  0.2904 
   00040    0.4296  -72189.6217  0.2883 
   00041    0.4305  -72326.9468  0.2898 
   00042    0.4269  -72374.1806  0.2899 
   00043    0.4350  -72413.4346  0.2911 
   00044    0.4252  -72517.2940  0.2903 
   00045    0.4274  -72753.9107  0.2917 
   00046    0.4265  -72879.8815  0.2926 
   00047    0.4232  -72819.2306  0.2934 
   00048    0.4291  -72899.0740  0.2921 
   00049    0.4268  -72941.0344  0.2923 
   00050    0.4239  -73123.0989  0.2913 
