#=====================================================
# File created:        Tue-07-Nov-2023-at-06-50-46PM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.443630
# Number of Cores      8
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5502.8439  0.2544 
   00001    0.7047   -5878.1590  0.2562 
   00002    0.7049   -6210.7419  0.2561 
   00003    0.6875   -6634.2019  0.2587 
   00004    0.6756   -6917.0375  0.2584 
   00005    0.6745   -7210.0653  0.2612 
   00006    0.6677   -7523.0806  0.2604 
   00007    0.6645   -7833.7299  0.2615 
   00008    0.6553   -8068.9899  0.2613 
   00009    0.6420   -8411.7991  0.2614 
   00010    0.6309   -8650.1182  0.2627 
   00011    0.6313   -8866.0349  0.2641 
   00012    0.6228   -9105.0962  0.2648 
   00013    0.6164   -9335.6706  0.2662 
   00014    0.6162   -9570.0502  0.2686 
   00015    0.6089   -9789.9275  0.2673 
   00016    0.5943   -9959.0035  0.2658 
   00017    0.6076  -10155.9958  0.2639 
   00018    0.5913  -10308.7090  0.2626 
   00019    0.5865  -10486.1762  0.2617 
   00020    0.5950  -10616.8363  0.2624 
   00021    0.5851  -10754.3356  0.2646 
   00022    0.5756  -10898.8625  0.2625 
   00023    0.5726  -11026.6066  0.2650 
   00024    0.5781  -11186.3926  0.2645 
   00025    0.5694  -11298.5696  0.2661 
   00026    0.5653  -11438.8058  0.2670 
   00027    0.5696  -11589.1828  0.2658 
   00028    0.5541  -11713.4983  0.2658 
   00029    0.5584  -11853.7976  0.2664 
   00030    0.5534  -11985.4219  0.2694 
   00031    0.5669  -12072.7650  0.2689 
   00032    0.5492  -12188.5270  0.2691 
   00033    0.5390  -12298.2324  0.2695 
   00034    0.5486  -12399.1697  0.2666 
   00035    0.5346  -12464.5182  0.2666 
   00036    0.5420  -12551.3003  0.2694 
   00037    0.5440  -12631.3586  0.2710 
   00038    0.5403  -12723.3838  0.2714 
   00039    0.5291  -12822.5840  0.2707 
   00040    0.5244  -12951.7060  0.2702 
   00041    0.5294  -12992.8163  0.2707 
   00042    0.5189  -13081.3158  0.2717 
   00043    0.5271  -13205.8726  0.2728 
   00044    0.5198  -13247.2498  0.2723 
   00045    0.5225  -13333.1520  0.2727 
   00046    0.5324  -13427.5741  0.2735 
   00047    0.5061  -13498.1046  0.2745 
   00048    0.5076  -13573.0031  0.2753 
   00049    0.5150  -13640.2928  0.2738 
   00050    0.5118  -13691.8284  0.2751 
