LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.284, Time: 1.808470 s
         4125652 function calls (4056072 primitive calls) in 4.559 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    959/1    0.003    0.000    4.563    4.563 {built-in method builtins.exec}
        1    0.000    0.000    4.562    4.562 LebwohlLasher_numba.py:1(<module>)
       71    0.005    0.000    2.908    0.041 __init__.py:1(<module>)
        1    0.001    0.001    2.597    2.597 LebwohlLasher_numba.py:260(main)
  811/103    0.006    0.000    2.067    0.020 <frozen importlib._bootstrap>:1022(_find_and_load)
   746/42    0.004    0.000    2.064    0.049 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  1092/43    0.001    0.000    2.054    0.048 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   720/43    0.004    0.000    2.053    0.048 <frozen importlib._bootstrap>:664(_load_unlocked)
   635/43    0.003    0.000    2.051    0.048 <frozen importlib._bootstrap_external>:877(exec_module)
   591/65    0.002    0.000    1.918    0.030 {built-in method builtins.__import__}
5310/4362    0.008    0.000    1.863    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    1.058    1.058 pyplot.py:1(<module>)
3091/2869    0.044    0.000    1.028    0.000 {built-in method builtins.__build_class__}
       51    0.950    0.019    0.957    0.019 LebwohlLasher_numba.py:185(get_order)
       50    0.581    0.012    0.860    0.017 LebwohlLasher_numba.py:213(MC_step)
      101    0.001    0.000    0.810    0.008 artist.py:128(_update_set_signature_and_docstring)
      100    0.000    0.000    0.804    0.008 artist.py:104(__init_subclass__)
        1    0.000    0.000    0.762    0.762 dispatcher.py:388(_compile_for_args)
      3/1    0.000    0.000    0.740    0.740 dispatcher.py:915(compile)
      2/1    0.000    0.000    0.740    0.740 dispatcher.py:124(compile)
      2/1    0.000    0.000    0.740    0.740 dispatcher.py:131(_compile_cached)
      2/1    0.000    0.000    0.740    0.740 dispatcher.py:146(_compile_core)
      2/1    0.000    0.000    0.739    0.739 compiler.py:667(compile_extra)
    77/26    0.000    0.000    0.582    0.022 compiler_lock.py:32(_acquire_compile_lock)
        1    0.000    0.000    0.574    0.574 figure.py:1(<module>)
      3/1    0.000    0.000    0.548    0.548 compiler.py:423(compile_extra)
      3/1    0.000    0.000    0.547    0.547 compiler.py:492(_compile_bytecode)
      3/1    0.000    0.000    0.547    0.547 compiler.py:446(_compile_core)
      3/1    0.000    0.000    0.546    0.546 compiler_machinery.py:327(run)
    75/25    0.001    0.000    0.546    0.022 compiler_machinery.py:264(_runPass)
   225/75    0.000    0.000    0.545    0.007 compiler_machinery.py:268(check)
      114    0.001    0.000    0.524    0.005 artist.py:1730(kwdoc)
      216    0.029    0.000    0.428    0.002 artist.py:1422(get_setters)
    33099    0.026    0.000    0.426    0.000 inspect.py:725(getdoc)
      3/1    0.000    0.000    0.424    0.424 typed_passes.py:98(run_pass)
      3/1    0.000    0.000    0.424    0.424 typed_passes.py:61(type_inference_stage)
      3/1    0.000    0.000    0.422    0.422 typeinfer.py:1067(propagate)
      6/2    0.001    0.000    0.422    0.211 typeinfer.py:142(propagate)
   150/16    0.001    0.000    0.421    0.026 typeinfer.py:580(resolve)
   150/16    0.000    0.000    0.420    0.026 typeinfer.py:1517(resolve_call)
   154/16    0.000    0.000    0.420    0.026 context.py:189(resolve_function_type)
   154/16    0.001    0.000    0.420    0.026 context.py:233(_resolve_user_function_type)
     38/6    0.000    0.000    0.419    0.070 typeinfer.py:570(__call__)
        2    0.000    0.000    0.418    0.209 functions.py:534(get_call_type)
        2    0.000    0.000    0.418    0.209 dispatcher.py:348(get_call_template)
    32047    0.248    0.000    0.396    0.000 inspect.py:744(cleandoc)
      3/2    0.000    0.000    0.395    0.197 typed_passes.py:363(run_pass)
        1    0.000    0.000    0.389    0.389 colorbar.py:1(<module>)
      114    0.005    0.000    0.378    0.003 artist.py:1491(pprint_setters)
    27386    0.017    0.000    0.373    0.000 artist.py:1441(is_alias)
        1    0.000    0.000    0.349    0.349 config.py:1(<module>)
        1    0.000    0.000    0.318    0.318 _subplots.py:1(<module>)
        1    0.000    0.000    0.303    0.303 _axes.py:1(<module>)
      216    0.001    0.000    0.280    0.001 artist.py:1327(__init__)
      216    0.014    0.000    0.279    0.001 artist.py:1347(get_aliases)
        1    0.000    0.000    0.272    0.272 dylib.py:1(<module>)
        1    0.000    0.000    0.271    0.271 ffi.py:1(<module>)
      3/2    0.000    0.000    0.267    0.133 lowering.py:191(lower)
     8910    0.006    0.000    0.245    0.000 inspect.py:3252(signature)
     8910    0.006    0.000    0.239    0.000 inspect.py:2998(from_callable)
8946/8910    0.039    0.000    0.234    0.000 inspect.py:2375(_signature_from_callable)
      3/2    0.000    0.000    0.233    0.116 lowering.py:242(lower_normal_function)
      3/2    0.000    0.000    0.231    0.116 lowering.py:259(lower_function_body)
     23/8    0.001    0.000    0.231    0.029 lowering.py:283(lower_block)
  410/241    0.002    0.000    0.228    0.001 lowering.py:432(lower_inst)
  188/116    0.000    0.000    0.217    0.002 lowering.py:614(lower_assign)
    97/70    0.000    0.000    0.213    0.003 lowering.py:1133(lower_expr)
        1    0.000    0.000    0.213    0.213 contour.py:1(<module>)
    94437    0.195    0.000    0.195    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
        3    0.000    0.000    0.195    0.065 compiler.py:381(__init__)
    43/33    0.001    0.000    0.183    0.006 lowering.py:690(lower_binop)
    79/52    0.000    0.000    0.179    0.003 base.py:1200(__call__)
    79/52    0.000    0.000    0.179    0.003 base.py:1229(wrapper)
        1    0.000    0.000    0.177    0.177 backend_bases.py:1(<module>)
      738    0.006    0.000    0.177    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     1072    0.014    0.000    0.170    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      635    0.007    0.000    0.167    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     8803    0.062    0.000    0.166    0.000 inspect.py:2280(_signature_from_function)
      715    0.001    0.000    0.165    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      715    0.004    0.000    0.164    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        2    0.000    0.000    0.162    0.081 collections.py:1(<module>)
        2    0.000    0.000    0.158    0.079 __init__.py:3240(_call_aside)
        1    0.000    0.000    0.158    0.158 __init__.py:3266(_initialize_master_working_set)
        4    0.000    0.000    0.153    0.038 numbers.py:207(int_power_impl)
        4    0.000    0.000    0.153    0.038 base.py:887(compile_internal)
        4    0.000    0.000    0.149    0.037 base.py:858(compile_subroutine)
        1    0.000    0.000    0.149    0.149 base.py:820(_compile_subroutine_no_cache)
     7416    0.008    0.000    0.144    0.000 re.py:288(_compile)
   183/13    0.000    0.000    0.141    0.011 base.py:269(refresh)
        1    0.000    0.000    0.141    0.141 compiler.py:760(compile_internal)
        1    0.000    0.000    0.140    0.140 widgets.py:1(<module>)
        1    0.000    0.000    0.136    0.136 patches.py:1(<module>)
     4000    0.012    0.000    0.136    0.000 artist.py:1375(get_valid_values)
     3895    0.132    0.000    0.132    0.000 {built-in method posix.stat}
       16    0.001    0.000    0.132    0.008 __init__.py:601(add_entry)
      294    0.002    0.000    0.131    0.000 sre_compile.py:783(compile)
     2072    0.101    0.000    0.130    0.000 ffi.py:149(__call__)
      268    0.001    0.000    0.127    0.000 __init__.py:2046(find_on_path)
        1    0.000    0.000    0.126    0.126 axes3d.py:1(<module>)
     2990    0.002    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      183    0.002    0.000    0.114    0.001 cpu.py:69(load_additional_registries)
      178    0.000    0.000    0.109    0.001 re.py:249(compile)
      635    0.003    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      635    0.106    0.000    0.106    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.104    0.104 legend.py:1(<module>)
        4    0.000    0.000    0.102    0.026 codegen.py:740(finalize)
        1    0.000    0.000    0.096    0.096 offsetbox.py:1(<module>)
   186/16    0.000    0.000    0.096    0.006 context.py:153(refresh)
  204/128    0.001    0.000    0.089    0.001 functools.py:961(__get__)
        3    0.000    0.000    0.084    0.028 decorators.py:1(<module>)
      194    0.005    0.000    0.084    0.000 functions.py:281(get_call_type)
    21/16    0.000    0.000    0.083    0.005 codegen.py:566(_ensure_finalized)
        1    0.000    0.000    0.080    0.080 stencil.py:1(<module>)
   250000    0.076    0.000    0.076    0.000 LebwohlLasher_numba.py:132(one_energy)
        2    0.000    0.000    0.076    0.038 cpu.py:216(get_executable)
        7    0.000    0.000    0.075    0.011 codegen.py:976(get_pointer_to_function)
        1    0.000    0.000    0.075    0.075 rcsetup.py:1(<module>)
  720/714    0.002    0.000    0.074    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      294    0.001    0.000    0.072    0.000 sre_parse.py:944(parse)
  781/294    0.003    0.000    0.069    0.000 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.069    0.069 art3d.py:1(<module>)
 1000/303    0.026    0.000    0.067    0.000 sre_parse.py:494(_parse)
      112    0.000    0.000    0.066    0.001 typeinfer.py:699(__call__)
        4    0.000    0.000    0.065    0.016 codegen.py:782(_finalize_final_module)
      127    0.001    0.000    0.064    0.001 docstring.py:36(__call__)
  115/105    0.000    0.000    0.063    0.001 docstring.py:83(__call__)
       13    0.000    0.000    0.063    0.005 docstring.py:55(__missing__)
        8    0.000    0.000    0.062    0.008 codegen.py:724(add_ir_module)
        1    0.000    0.000    0.061    0.061 geo.py:1(<module>)
       27    0.001    0.000    0.061    0.002 postproc.py:70(run)
   398730    0.049    0.000    0.061    0.000 {built-in method builtins.isinstance}
      508    0.002    0.000    0.058    0.000 __init__.py:2132(distributions_from_metadata)
        2    0.000    0.000    0.058    0.029 _base.py:1(<module>)
      294    0.001    0.000    0.056    0.000 sre_compile.py:622(_code)
19594/19216    0.005    0.000    0.054    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.054    0.013 codegen.py:997(_finalize_specific)
        3    0.000    0.000    0.053    0.018 registry.py:1(<module>)
      186    0.001    0.000    0.053    0.000 context.py:700(load_additional_registries)
    23948    0.030    0.000    0.052    0.000 inspect.py:2637(__init__)
      833    0.002    0.000    0.052    0.000 extending.py:127(decorate)
   186/16    0.000    0.000    0.052    0.003 context.py:415(_load_builtins)
        1    0.000    0.000    0.052    0.052 dispatcher.py:1(<module>)
 1860/160    0.004    0.000    0.050    0.000 context.py:428(install_registry)
       14    0.000    0.000    0.049    0.004 codegen.py:1059(wrapper)
        4    0.000    0.000    0.049    0.012 executionengine.py:87(finalize_object)
      254    0.002    0.000    0.048    0.000 __init__.py:2591(from_location)
        1    0.000    0.000    0.048    0.048 compiler.py:1(<module>)
    73/71    0.000    0.000    0.048    0.001 __init__.py:108(import_module)
    73/71    0.000    0.000    0.048    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
33194/5691    0.033    0.000    0.046    0.000 ir.py:313(_rec_list_vars)
       45    0.000    0.000    0.046    0.001 decorators.py:189(wrapper)
6271/6003    0.005    0.000    0.046    0.000 {built-in method builtins.sorted}
       40    0.000    0.000    0.046    0.001 decorators.py:26(jit)
       45    0.001    0.000    0.046    0.001 dispatcher.py:807(__init__)
        1    0.000    0.000    0.046    0.046 __init__.py:559(_build_master)
        1    0.000    0.000    0.046    0.046 __init__.py:546(__init__)
        1    0.000    0.000    0.044    0.044 special.py:1(<module>)
        4    0.000    0.000    0.043    0.011 context.py:1(<module>)
553051/550321    0.042    0.000    0.043    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.043    0.043 polar.py:1(<module>)
        1    0.000    0.000    0.043    0.043 axis.py:1(<module>)
     5185    0.003    0.000    0.042    0.000 re.py:197(search)
      801    0.002    0.000    0.042    0.000 templates.py:349(apply)
      170    0.000    0.000    0.041    0.000 templates.py:1051(__init__)
      217    0.000    0.000    0.040    0.000 registry.py:38(target_context)
        1    0.000    0.000    0.040    0.040 registry.py:28(_toplevel_target_context)
        1    0.000    0.000    0.040    0.040 cpu.py:40(__init__)
        1    0.000    0.000    0.040    0.040 base.py:233(__init__)
        1    0.000    0.000    0.040    0.040 multiarray.py:1(<module>)
     4630    0.002    0.000    0.040    0.000 ir.py:346(list_vars)
       14    0.000    0.000    0.040    0.003 __init__.py:2011(_by_version_descending)
      166    0.001    0.000    0.039    0.000 templates.py:1097(_init_once)
      833    0.026    0.000    0.039    0.000 templates.py:887(make_overload_template)
        1    0.000    0.000    0.039    0.039 loader.py:1(<module>)
20405/14340    0.014    0.000    0.039    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.039    0.019 builtins.py:1(<module>)
        1    0.000    0.000    0.039    0.039 colors.py:1(<module>)
        1    0.000    0.000    0.038    0.038 arraymath.py:1(<module>)
        1    0.000    0.000    0.038    0.038 overrides.py:1(<module>)
       30    0.000    0.000    0.038    0.001 module.py:233(__repr__)
      170    0.001    0.000    0.037    0.000 templates.py:907(_get_target_registry)
 1913/294    0.012    0.000    0.037    0.000 sre_compile.py:87(_compile)
       30    0.000    0.000    0.037    0.001 module.py:207(_get_body_lines)
       30    0.000    0.000    0.037    0.001 module.py:212(<listcomp>)
       30    0.006    0.000    0.036    0.001 analysis.py:23(compute_use_defs)
        1    0.000    0.000    0.036    0.036 cpu.py:47(init)
        1    0.000    0.000    0.035    0.035 image.py:1(<module>)
       75    0.000    0.000    0.035    0.000 values.py:1000(__str__)
       75    0.000    0.000    0.035    0.000 values.py:993(descr)
        2    0.000    0.000    0.035    0.017 pyparsing.py:1(<module>)
     1093    0.003    0.000    0.035    0.000 __init__.py:2778(_get_metadata)
   200776    0.035    0.000    0.035    0.000 {built-in method builtins.min}
     2204    0.015    0.000    0.034    0.000 version.py:261(__init__)
122511/122432    0.031    0.000    0.034    0.000 {built-in method builtins.getattr}
     9020    0.021    0.000    0.034    0.000 inspect.py:2920(__init__)
      327    0.033    0.000    0.033    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.033    0.033 pyplot.py:206(switch_backend)
    58/57    0.000    0.000    0.033    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
     1968    0.002    0.000    0.033    0.000 abc.py:105(__new__)
      316    0.001    0.000    0.033    0.000 overrides.py:183(decorator)
       27    0.000    0.000    0.033    0.001 postproc.py:41(usedefs)
    58/57    0.032    0.001    0.033    0.001 {built-in method _imp.create_dynamic}
      635    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        4    0.000    0.000    0.032    0.008 codegen.py:668(_optimize_final_module)
        8    0.000    0.000    0.032    0.004 passmanagers.py:203(run)
        2    0.000    0.000    0.032    0.016 lowering.py:296(create_cpython_wrapper)
        2    0.000    0.000    0.032    0.016 cpu.py:175(create_cpython_wrapper)
        1    0.000    0.000    0.032    0.032 rules.py:1(<module>)
6890/3118    0.005    0.000    0.032    0.000 _utils.py:44(__str__)
       14    0.000    0.000    0.031    0.002 values.py:986(descr_body)
        1    0.000    0.000    0.031    0.031 fontconfig_pattern.py:1(<module>)
      211    0.000    0.000    0.031    0.000 values.py:1129(descr)
        6    0.001    0.000    0.031    0.005 registry.py:54(apply)
      162    0.000    0.000    0.031    0.000 __init__.py:2992(_reload_version)
        1    0.000    0.000    0.031    0.031 rules.py:15(_init_casting_rules)
       44    0.000    0.000    0.031    0.001 castgraph.py:119(insert_rule)
      211    0.001    0.000    0.030    0.000 values.py:1131(<listcomp>)
      226    0.001    0.000    0.030    0.000 npydecl.py:202(generic)
       44    0.007    0.000    0.030    0.001 castgraph.py:92(propagate)
      162    0.000    0.000    0.030    0.000 __init__.py:2783(_get_version)
        1    0.000    0.000    0.030    0.030 _axes.py:46(Axes)
        1    0.000    0.000    0.030    0.030 nrt.py:19(initialize)
      178    0.001    0.000    0.030    0.000 overload_glue.py:128(_build)
      162    0.001    0.000    0.030    0.000 __init__.py:2561(_version_from_file)
        1    0.000    0.000    0.029    0.029 randomdecl.py:1(<module>)
        3    0.000    0.000    0.029    0.010 untyped_passes.py:79(run_pass)
        3    0.000    0.000    0.029    0.010 interpreter.py:336(interpret)
        1    0.000    0.000    0.029    0.029 pyplot.py:267(backend_mod)
      234    0.002    0.000    0.029    0.000 npydecl.py:98(generic)
        1    0.000    0.000    0.029    0.029 arraymath.py:36(_check_blas)
        1    0.000    0.000    0.029    0.029 linalg.py:54(ensure_blas)
        1    0.000    0.000    0.029    0.029 axis3d.py:1(<module>)
        1    0.000    0.000    0.029    0.029 nrtdynmod.py:205(compile_nrt_functions)
        1    0.000    0.000    0.029    0.029 backend_tkagg.py:1(<module>)
   296564    0.029    0.000    0.029    0.000 {method 'lstrip' of 'str' objects}
     7558    0.028    0.000    0.028    0.000 {built-in method __new__ of type object at 0x55a75890a9a0}
      541    0.025    0.000    0.028    0.000 sre_compile.py:292(_optimize_charset)
      254    0.001    0.000    0.027    0.000 __init__.py:2035(_by_version)
     1959    0.004    0.000    0.027    0.000 values.py:544(_to_string)
49507/49466    0.018    0.000    0.026    0.000 {method 'join' of 'str' objects}
      124    0.000    0.000    0.026    0.000 __init__.py:3292(<genexpr>)
        1    0.000    0.000    0.026    0.026 quiver.py:1(<module>)
      123    0.000    0.000    0.026    0.000 __init__.py:2789(activate)
        1    0.000    0.000    0.025    0.025 charseq.py:1(<module>)
        2    0.000    0.000    0.025    0.013 parser.py:1(<module>)
        1    0.000    0.000    0.025    0.025 ir_utils.py:1(<module>)
        1    0.000    0.000    0.025    0.025 text.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _backend_tk.py:1(<module>)
      254    0.001    0.000    0.025    0.000 __init__.py:2041(<listcomp>)
       89    0.000    0.000    0.025    0.000 overload_glue.py:240(glue_typing)
      276    0.000    0.000    0.025    0.000 overload_glue.py:197(__call__)
    58/50    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.025    0.025 requirements.py:1(<module>)
       89    0.000    0.000    0.024    0.000 overload_glue.py:18(__init__)
        1    0.000    0.000    0.024    0.024 lines.py:1(<module>)
    58/50    0.010    0.000    0.024    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.024    0.024 callconv.py:1(<module>)
36138/35946    0.010    0.000    0.024    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.024    0.024 feedparser.py:1(<module>)
   139664    0.024    0.000    0.024    0.000 {method 'startswith' of 'str' objects}
    24635    0.013    0.000    0.024    0.000 enum.py:359(__call__)
     1016    0.002    0.000    0.024    0.000 __init__.py:2026(try_parse)
        3    0.000    0.000    0.024    0.008 untyped_passes.py:192(run_pass)
2214/2209    0.004    0.000    0.024    0.000 abstract.py:60(__call__)
