LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.290, Time: 0.822737 s
         7611040 function calls (7348788 primitive calls) in 6.810 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    970/1    0.003    0.000    6.816    6.816 {built-in method builtins.exec}
        1    0.000    0.000    6.816    6.816 LebwohlLasher_numba.py:1(<module>)
        1    0.001    0.001    5.020    5.020 LebwohlLasher_numba.py:261(main)
        2    0.000    0.000    4.186    2.093 dispatcher.py:388(_compile_for_args)
     60/2    0.001    0.000    4.176    2.088 dispatcher.py:915(compile)
     20/2    0.000    0.000    4.176    2.088 dispatcher.py:124(compile)
     20/2    0.000    0.000    4.176    2.088 dispatcher.py:131(_compile_cached)
     20/2    0.001    0.000    4.176    2.088 dispatcher.py:146(_compile_core)
     20/2    0.000    0.000    4.176    2.088 compiler.py:667(compile_extra)
   827/51    0.002    0.000    4.017    0.079 compiler_lock.py:32(_acquire_compile_lock)
     33/2    0.000    0.000    3.985    1.993 compiler.py:423(compile_extra)
     33/2    0.000    0.000    3.984    1.992 compiler.py:492(_compile_bytecode)
     33/2    0.001    0.000    3.984    1.992 compiler.py:446(_compile_core)
     33/2    0.003    0.000    3.983    1.991 compiler_machinery.py:327(run)
   825/50    0.012    0.000    3.981    0.080 compiler_machinery.py:264(_runPass)
 2475/150    0.003    0.000    3.978    0.027 compiler_machinery.py:268(check)
    33/18    0.002    0.000    3.210    0.178 typed_passes.py:363(run_pass)
    33/10    0.001    0.000    2.581    0.258 typed_passes.py:98(run_pass)
    33/10    0.001    0.000    2.580    0.258 typed_passes.py:61(type_inference_stage)
    33/10    0.000    0.000    2.564    0.256 typeinfer.py:1067(propagate)
    68/22    0.004    0.000    2.564    0.117 typeinfer.py:142(propagate)
  578/268    0.005    0.000    2.531    0.009 typeinfer.py:580(resolve)
       71    0.004    0.000    2.530    0.036 __init__.py:1(<module>)
  604/278    0.001    0.000    2.520    0.009 context.py:189(resolve_function_type)
  578/268    0.001    0.000    2.520    0.009 typeinfer.py:1517(resolve_call)
  604/278    0.003    0.000    2.518    0.009 context.py:233(_resolve_user_function_type)
  261/119    0.002    0.000    2.466    0.021 typeinfer.py:570(__call__)
    58/17    0.000    0.000    2.422    0.142 functions.py:534(get_call_type)
    58/17    0.000    0.000    2.421    0.142 dispatcher.py:348(get_call_template)
  615/447    0.015    0.000    2.222    0.005 functions.py:281(get_call_type)
2895/2193    0.005    0.000    2.134    0.001 templates.py:349(apply)
  567/388    0.002    0.000    2.058    0.005 templates.py:607(generic)
  567/388    0.002    0.000    2.054    0.005 templates.py:698(_get_impl)
    49/26    0.001    0.000    2.030    0.078 templates.py:756(_build_impl)
    33/18    0.000    0.000    1.958    0.109 lowering.py:191(lower)
 1080/372    0.006    0.000    1.903    0.005 <frozen importlib._bootstrap>:1022(_find_and_load)
   746/42    0.004    0.000    1.894    0.045 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  1092/43    0.001    0.000    1.884    0.044 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   720/43    0.004    0.000    1.883    0.044 <frozen importlib._bootstrap>:664(_load_unlocked)
   635/43    0.002    0.000    1.882    0.044 <frozen importlib._bootstrap_external>:877(exec_module)
    33/18    0.000    0.000    1.775    0.099 lowering.py:242(lower_normal_function)
    33/18    0.001    0.000    1.762    0.098 lowering.py:259(lower_function_body)
   149/68    0.006    0.000    1.761    0.026 lowering.py:283(lower_block)
   591/65    0.001    0.000    1.752    0.027 {built-in method builtins.__import__}
1868/1004    0.010    0.000    1.748    0.002 lowering.py:432(lower_inst)
13071/12123    0.016    0.000    1.732    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
  812/452    0.002    0.000    1.652    0.004 lowering.py:614(lower_assign)
  431/265    0.002    0.000    1.632    0.006 lowering.py:1133(lower_expr)
    12413    1.415    0.000    1.612    0.000 ffi.py:149(__call__)
       34    0.001    0.000    1.477    0.043 codegen.py:740(finalize)
  212/139    0.000    0.000    1.464    0.011 codegen.py:566(_ensure_finalized)
    29/24    0.000    0.000    1.305    0.054 base.py:858(compile_subroutine)
    13/11    0.001    0.000    1.304    0.119 base.py:820(_compile_subroutine_no_cache)
  276/175    0.001    0.000    1.272    0.007 base.py:1200(__call__)
  276/175    0.001    0.000    1.271    0.007 base.py:1229(wrapper)
    26/21    0.000    0.000    1.266    0.060 base.py:887(compile_internal)
       20    0.000    0.000    1.222    0.061 cpu.py:216(get_executable)
       43    0.000    0.000    1.218    0.028 codegen.py:976(get_pointer_to_function)
   120/84    0.001    0.000    1.107    0.013 lowering.py:864(lower_call)
   107/78    0.001    0.000    1.100    0.014 lowering.py:1105(_lower_call_normal)
    13/11    0.000    0.000    1.082    0.098 compiler.py:760(compile_internal)
        1    0.000    0.000    0.983    0.983 pyplot.py:1(<module>)
3421/3199    0.042    0.000    0.966    0.000 {built-in method builtins.__build_class__}
       50    0.531    0.011    0.806    0.016 LebwohlLasher_numba.py:214(MC_step)
       34    0.000    0.000    0.795    0.023 codegen.py:782(_finalize_final_module)
      101    0.003    0.000    0.759    0.008 artist.py:128(_update_set_signature_and_docstring)
      100    0.000    0.000    0.752    0.008 artist.py:104(__init_subclass__)
       34    0.000    0.000    0.707    0.021 codegen.py:997(_finalize_specific)
       81    0.000    0.000    0.671    0.008 codegen.py:1059(wrapper)
       34    0.000    0.000    0.669    0.020 executionengine.py:87(finalize_object)
       34    0.000    0.000    0.619    0.018 codegen.py:668(_optimize_final_module)
       68    0.000    0.000    0.618    0.009 passmanagers.py:203(run)
        1    0.000    0.000    0.514    0.514 figure.py:1(<module>)
      114    0.001    0.000    0.497    0.004 artist.py:1730(kwdoc)
      216    0.027    0.000    0.401    0.002 artist.py:1422(get_setters)
        1    0.000    0.000    0.396    0.396 arrayobj.py:5100(np_vstack)
    33099    0.024    0.000    0.396    0.000 inspect.py:725(getdoc)
        1    0.000    0.000    0.377    0.377 colorbar.py:1(<module>)
       56    0.001    0.000    0.367    0.007 codegen.py:724(add_ir_module)
    32047    0.232    0.000    0.366    0.000 inspect.py:744(cleandoc)
      114    0.005    0.000    0.359    0.003 artist.py:1491(pprint_setters)
    27386    0.016    0.000    0.346    0.000 artist.py:1441(is_alias)
      297    0.004    0.000    0.335    0.001 postproc.py:70(run)
2220/1392    0.007    0.000    0.280    0.000 functools.py:961(__get__)
        1    0.000    0.000    0.275    0.275 config.py:1(<module>)
        1    0.000    0.000    0.268    0.268 _subplots.py:1(<module>)
      216    0.001    0.000    0.260    0.001 artist.py:1327(__init__)
      216    0.014    0.000    0.259    0.001 artist.py:1347(get_aliases)
        1    0.000    0.000    0.253    0.253 _axes.py:1(<module>)
       96    0.000    0.000    0.248    0.003 codegen.py:720(add_linking_library)
       33    0.001    0.000    0.246    0.007 compiler.py:381(__init__)
     9256    0.006    0.000    0.246    0.000 inspect.py:3252(signature)
     9256    0.006    0.000    0.240    0.000 inspect.py:2998(from_callable)
9292/9256    0.039    0.000    0.234    0.000 inspect.py:2375(_signature_from_callable)
        1    0.000    0.000    0.224    0.224 arraymath.py:555(array_max)
        2    0.000    0.000    0.221    0.110 arrayobj.py:1819(array_reshape_vararg)
        2    0.000    0.000    0.221    0.110 arrayobj.py:1754(array_reshape)
        1    0.000    0.000    0.215    0.215 dylib.py:1(<module>)
