LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.307, Time: 1.977700 s
         4097999 function calls (4037902 primitive calls) in 5.535 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    959/1    0.006    0.000    5.539    5.539 {built-in method builtins.exec}
        1    0.000    0.000    5.539    5.539 LebwohlLasher_numba.py:1(<module>)
       71    0.006    0.000    4.083    0.058 __init__.py:1(<module>)
   801/93    0.007    0.000    2.917    0.031 <frozen importlib._bootstrap>:1022(_find_and_load)
   746/42    0.004    0.000    2.915    0.069 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   720/43    0.005    0.000    2.903    0.068 <frozen importlib._bootstrap>:664(_load_unlocked)
  1092/43    0.001    0.000    2.901    0.067 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   635/43    0.003    0.000    2.901    0.067 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.003    0.003    2.785    2.785 LebwohlLasher_numba.py:259(main)
   591/65    0.002    0.000    2.755    0.042 {built-in method builtins.__import__}
5016/4068    0.008    0.000    2.678    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    1.272    1.272 pyplot.py:1(<module>)
3081/2859    0.055    0.000    1.198    0.000 {built-in method builtins.__build_class__}
       51    0.953    0.019    0.963    0.019 LebwohlLasher_numba.py:184(get_order)
      101    0.001    0.000    0.939    0.009 artist.py:128(_update_set_signature_and_docstring)
       51    0.127    0.002    0.932    0.018 LebwohlLasher_numba.py:167(all_energy)
      100    0.000    0.000    0.927    0.009 artist.py:104(__init_subclass__)
       50    0.579    0.012    0.879    0.018 LebwohlLasher_numba.py:212(MC_step)
        1    0.000    0.000    0.771    0.771 dispatcher.py:388(_compile_for_args)
        1    0.000    0.000    0.760    0.760 dispatcher.py:915(compile)
        1    0.000    0.000    0.760    0.760 dispatcher.py:124(compile)
        1    0.000    0.000    0.760    0.760 dispatcher.py:131(_compile_cached)
        1    0.000    0.000    0.760    0.760 dispatcher.py:146(_compile_core)
        1    0.000    0.000    0.759    0.759 compiler.py:667(compile_extra)
        1    0.000    0.000    0.690    0.690 figure.py:1(<module>)
      114    0.001    0.000    0.612    0.005 artist.py:1730(kwdoc)
        1    0.000    0.000    0.557    0.557 config.py:1(<module>)
    52/26    0.000    0.000    0.539    0.021 compiler_lock.py:32(_acquire_compile_lock)
    33099    0.030    0.000    0.487    0.000 inspect.py:725(getdoc)
      216    0.033    0.000    0.485    0.002 artist.py:1422(get_setters)
        1    0.000    0.000    0.483    0.483 colorbar.py:1(<module>)
        1    0.000    0.000    0.455    0.455 dylib.py:1(<module>)
        1    0.000    0.000    0.453    0.453 ffi.py:1(<module>)
    32047    0.285    0.000    0.450    0.000 inspect.py:744(cleandoc)
      635    0.008    0.000    0.446    0.001 <frozen importlib._bootstrap_external>:950(get_code)
      114    0.006    0.000    0.438    0.004 artist.py:1491(pprint_setters)
      2/1    0.000    0.000    0.437    0.437 compiler.py:423(compile_extra)
      2/1    0.000    0.000    0.437    0.437 compiler.py:492(_compile_bytecode)
      2/1    0.000    0.000    0.437    0.437 compiler.py:446(_compile_core)
      2/1    0.000    0.000    0.436    0.436 compiler_machinery.py:327(run)
    50/25    0.001    0.000    0.435    0.017 compiler_machinery.py:264(_runPass)
   150/75    0.000    0.000    0.433    0.006 compiler_machinery.py:268(check)
    27386    0.019    0.000    0.426    0.000 artist.py:1441(is_alias)
        1    0.000    0.000    0.342    0.342 _subplots.py:1(<module>)
      216    0.001    0.000    0.326    0.002 artist.py:1327(__init__)
      2/1    0.000    0.000    0.326    0.326 typed_passes.py:363(run_pass)
      216    0.017    0.000    0.324    0.002 artist.py:1347(get_aliases)
        2    0.000    0.000    0.323    0.161 compiler.py:381(__init__)
        1    0.000    0.000    0.322    0.322 _axes.py:1(<module>)
     8899    0.006    0.000    0.275    0.000 inspect.py:3252(signature)
     8899    0.006    0.000    0.269    0.000 inspect.py:2998(from_callable)
8935/8899    0.044    0.000    0.262    0.000 inspect.py:2375(_signature_from_callable)
   181/11    0.000    0.000    0.257    0.023 base.py:269(refresh)
      635    0.003    0.000    0.243    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      2/1    0.000    0.000    0.242    0.242 lowering.py:191(lower)
      635    0.239    0.000    0.239    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.234    0.234 contour.py:1(<module>)
      181    0.002    0.000    0.229    0.001 cpu.py:69(load_additional_registries)
        2    0.000    0.000    0.228    0.114 collections.py:1(<module>)
      2/1    0.000    0.000    0.220    0.220 lowering.py:242(lower_normal_function)
      2/1    0.000    0.000    0.219    0.219 lowering.py:259(lower_function_body)
     16/1    0.001    0.000    0.219    0.219 lowering.py:283(lower_block)
  341/172    0.002    0.000    0.217    0.001 lowering.py:432(lower_inst)
   158/86    0.000    0.000    0.209    0.002 lowering.py:614(lower_assign)
    84/57    0.000    0.000    0.207    0.004 lowering.py:1133(lower_expr)
    94571    0.201    0.000    0.201    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      738    0.007    0.000    0.197    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     8792    0.071    0.000    0.186    0.000 inspect.py:2280(_signature_from_function)
      715    0.001    0.000    0.185    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      715    0.004    0.000    0.184    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     1072    0.013    0.000    0.182    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.180    0.180 backend_bases.py:1(<module>)
    42/32    0.001    0.000    0.179    0.006 lowering.py:690(lower_binop)
      635    0.003    0.000    0.176    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
  720/714    0.002    0.000    0.171    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    71/44    0.000    0.000    0.170    0.004 base.py:1200(__call__)
    71/44    0.000    0.000    0.169    0.004 base.py:1229(wrapper)
     7398    0.009    0.000    0.166    0.000 re.py:288(_compile)
     1398    0.147    0.000    0.165    0.000 ffi.py:149(__call__)
     4000    0.014    0.000    0.163    0.000 artist.py:1375(get_valid_values)
        1    0.000    0.000    0.154    0.154 rcsetup.py:1(<module>)
        1    0.000    0.000    0.152    0.152 axes3d.py:1(<module>)
      294    0.002    0.000    0.152    0.001 sre_compile.py:783(compile)
        2    0.000    0.000    0.151    0.076 __init__.py:340(__init__)
        2    0.151    0.076    0.151    0.076 {built-in method _ctypes.dlopen}
        2    0.000    0.000    0.148    0.074 __init__.py:3240(_call_aside)
        1    0.000    0.000    0.148    0.148 __init__.py:3266(_initialize_master_working_set)
     3894    0.145    0.000    0.145    0.000 {built-in method posix.stat}
        4    0.000    0.000    0.143    0.036 numbers.py:207(int_power_impl)
        4    0.000    0.000    0.143    0.036 base.py:887(compile_internal)
      815    0.142    0.000    0.142    0.000 {method 'read' of '_io.BufferedReader' objects}
   137/86    0.001    0.000    0.140    0.002 functools.py:961(__get__)
        4    0.000    0.000    0.139    0.035 base.py:858(compile_subroutine)
        1    0.000    0.000    0.138    0.138 base.py:820(_compile_subroutine_no_cache)
        1    0.000    0.000    0.137    0.137 widgets.py:1(<module>)
       16    0.000    0.000    0.136    0.008 __init__.py:601(add_entry)
     2990    0.002    0.000    0.134    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.132    0.132 patches.py:1(<module>)
      268    0.001    0.000    0.131    0.000 __init__.py:2046(find_on_path)
        1    0.000    0.000    0.122    0.122 compiler.py:760(compile_internal)
      178    0.000    0.000    0.121    0.001 re.py:249(compile)
   377500    0.117    0.000    0.117    0.000 LebwohlLasher_numba.py:132(one_energy)
        3    0.000    0.000    0.117    0.039 codegen.py:740(finalize)
       44    0.000    0.000    0.113    0.003 decorators.py:189(wrapper)
       44    0.001    0.000    0.113    0.003 dispatcher.py:807(__init__)
       39    0.000    0.000    0.113    0.003 decorators.py:26(jit)
    58/57    0.000    0.000    0.112    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
    58/57    0.111    0.002    0.112    0.002 {built-in method _imp.create_dynamic}
   183/13    0.000    0.000    0.109    0.008 context.py:153(refresh)
      215    0.000    0.000    0.107    0.000 registry.py:38(target_context)
        1    0.000    0.000    0.106    0.106 registry.py:28(_toplevel_target_context)
        1    0.000    0.000    0.106    0.106 cpu.py:40(__init__)
        1    0.000    0.000    0.106    0.106 base.py:233(__init__)
        3    0.000    0.000    0.106    0.035 decorators.py:1(<module>)
        1    0.000    0.000    0.104    0.104 cpu.py:47(init)
        1    0.000    0.000    0.100    0.100 stencil.py:1(<module>)
        1    0.000    0.000    0.097    0.097 geo.py:1(<module>)
        1    0.000    0.000    0.095    0.095 legend.py:1(<module>)
        1    0.000    0.000    0.094    0.094 colors.py:1(<module>)
        1    0.000    0.000    0.094    0.094 art3d.py:1(<module>)
        1    0.000    0.000    0.090    0.090 __init__.py:559(_build_master)
        1    0.000    0.000    0.090    0.090 __init__.py:546(__init__)
        1    0.000    0.000    0.086    0.086 nrt.py:19(initialize)
        1    0.000    0.000    0.085    0.085 nrtdynmod.py:205(compile_nrt_functions)
        1    0.000    0.000    0.084    0.084 offsetbox.py:1(<module>)
      294    0.002    0.000    0.082    0.000 sre_parse.py:944(parse)
        3    0.000    0.000    0.080    0.027 codegen.py:782(_finalize_final_module)
        2    0.000    0.000    0.079    0.039 typed_passes.py:98(run_pass)
        2    0.000    0.000    0.079    0.039 typed_passes.py:61(type_inference_stage)
        1    0.001    0.001    0.079    0.079 arraymath.py:1(<module>)
  781/294    0.004    0.000    0.078    0.000 sre_parse.py:436(_parse_sub)
        3    0.000    0.000    0.077    0.026 registry.py:1(<module>)
 1000/303    0.030    0.000    0.077    0.000 sre_parse.py:494(_parse)
        1    0.000    0.000    0.076    0.076 dispatcher.py:1(<module>)
      187    0.004    0.000    0.076    0.000 functions.py:281(get_call_type)
        3    0.000    0.000    0.074    0.025 codegen.py:997(_finalize_specific)
        1    0.000    0.000    0.072    0.072 compiler.py:1(<module>)
       10    0.000    0.000    0.072    0.007 codegen.py:1059(wrapper)
        3    0.000    0.000    0.072    0.024 executionengine.py:87(finalize_object)
        2    0.000    0.000    0.070    0.035 builtins.py:1(<module>)
      127    0.001    0.000    0.070    0.001 docstring.py:36(__call__)
        2    0.000    0.000    0.070    0.035 typeinfer.py:1067(propagate)
        4    0.001    0.000    0.070    0.017 typeinfer.py:142(propagate)
  115/105    0.000    0.000    0.069    0.001 docstring.py:83(__call__)
       13    0.000    0.000    0.068    0.005 docstring.py:55(__missing__)
        1    0.000    0.000    0.067    0.067 multiarray.py:1(<module>)
      294    0.001    0.000    0.066    0.000 sre_compile.py:622(_code)
      833    0.005    0.000    0.065    0.000 extending.py:127(decorate)
        1    0.000    0.000    0.064    0.064 polar.py:1(<module>)
    63/61    0.000    0.000    0.064    0.001 __init__.py:108(import_module)
        1    0.000    0.000    0.064    0.064 overrides.py:1(<module>)
    63/61    0.000    0.000    0.064    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.000    0.000    0.064    0.064 arraymath.py:36(_check_blas)
        1    0.000    0.000    0.064    0.064 linalg.py:54(ensure_blas)
        5    0.000    0.000    0.063    0.013 codegen.py:724(add_ir_module)
      183    0.001    0.000    0.062    0.000 context.py:700(load_additional_registries)
        2    0.000    0.000    0.060    0.030 _base.py:1(<module>)
        2    0.001    0.000    0.060    0.030 pyparsing.py:1(<module>)
    23910    0.034    0.000    0.058    0.000 inspect.py:2637(__init__)
      134    0.001    0.000    0.058    0.000 typeinfer.py:580(resolve)
      508    0.002    0.000    0.058    0.000 __init__.py:2132(distributions_from_metadata)
     1966    0.004    0.000    0.057    0.000 abc.py:105(__new__)
   183/13    0.000    0.000    0.056    0.004 context.py:415(_load_builtins)
   370658    0.044    0.000    0.055    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.055    0.055 lines.py:1(<module>)
        1    0.000    0.000    0.054    0.054 fontconfig_pattern.py:1(<module>)
     5185    0.004    0.000    0.053    0.000 re.py:197(search)
    15/12    0.000    0.000    0.053    0.004 codegen.py:566(_ensure_finalized)
      134    0.000    0.000    0.053    0.000 typeinfer.py:1517(resolve_call)
  138/134    0.000    0.000    0.052    0.000 context.py:189(resolve_function_type)
  138/134    0.001    0.000    0.052    0.000 context.py:233(_resolve_user_function_type)
      102    0.000    0.000    0.052    0.001 typeinfer.py:699(__call__)
 1830/130    0.004    0.000    0.052    0.000 context.py:428(install_registry)
        1    0.000    0.000    0.051    0.051 Image.py:1(<module>)
18422/18174    0.005    0.000    0.051    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.049    0.049 charseq.py:1(<module>)
 1913/294    0.013    0.000    0.047    0.000 sre_compile.py:87(_compile)
5731/5583    0.006    0.000    0.047    0.000 {built-in method builtins.sorted}
550732/548111    0.045    0.000    0.046    0.000 {built-in method builtins.len}
      316    0.001    0.000    0.044    0.000 overrides.py:183(decorator)
     7421    0.044    0.000    0.044    0.000 {built-in method __new__ of type object at 0x5630e8d489a0}
      327    0.044    0.000    0.044    0.000 {built-in method posix.listdir}
       18    0.000    0.000    0.043    0.002 postproc.py:70(run)
    58/50    0.000    0.000    0.043    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
    58/50    0.017    0.000    0.043    0.001 {built-in method _imp.exec_dynamic}
      254    0.002    0.000    0.042    0.000 __init__.py:2591(from_location)
        1    0.000    0.000    0.041    0.041 callconv.py:1(<module>)
        1    0.000    0.000    0.041    0.041 axis.py:1(<module>)
      833    0.012    0.000    0.040    0.000 templates.py:887(make_overload_template)
       14    0.000    0.000    0.040    0.003 __init__.py:2011(_by_version_descending)
        1    0.000    0.000    0.040    0.040 loader.py:1(<module>)
        3    0.000    0.000    0.040    0.013 base.py:1(<module>)
        1    0.000    0.000    0.039    0.039 requirements.py:1(<module>)
      775    0.001    0.000    0.039    0.000 templates.py:349(apply)
      170    0.000    0.000    0.039    0.000 templates.py:1051(__init__)
120017/119946    0.034    0.000    0.038    0.000 {built-in method builtins.getattr}
     9009    0.024    0.000    0.038    0.000 inspect.py:2920(__init__)
      166    0.001    0.000    0.038    0.000 templates.py:1097(_init_once)
        1    0.000    0.000    0.037    0.037 _pickle.py:1(<module>)
   200751    0.037    0.000    0.037    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.037    0.037 cpu.py:216(get_executable)
        5    0.000    0.000    0.037    0.007 codegen.py:976(get_pointer_to_function)
       30    0.009    0.000    0.037    0.001 __init__.py:763(_rc_params_in_file)
        1    0.000    0.000    0.036    0.036 special.py:1(<module>)
        5    0.001    0.000    0.036    0.007 utils.py:1(<module>)
        4    0.000    0.000    0.035    0.009 context.py:1(<module>)
      541    0.033    0.000    0.035    0.000 sre_compile.py:292(_optimize_charset)
      170    0.001    0.000    0.035    0.000 templates.py:907(_get_target_registry)
        1    0.000    0.000    0.034    0.034 text.py:1(<module>)
28815/4772    0.025    0.000    0.034    0.000 ir.py:313(_rec_list_vars)
        1    0.000    0.000    0.034    0.034 unicode.py:1(<module>)
      178    0.022    0.000    0.034    0.000 overload_glue.py:128(_build)
        1    0.000    0.000    0.034    0.034 specifiers.py:1(<module>)
16624/12495    0.015    0.000    0.034    0.000 {method 'format' of 'str' objects}
2202/2197    0.005    0.000    0.034    0.000 abstract.py:60(__call__)
        1    0.000    0.000    0.033    0.033 _axes.py:46(Axes)
35511/35319    0.011    0.000    0.033    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.033    0.033 randomdecl.py:1(<module>)
        3    0.000    0.000    0.033    0.011 codegen.py:668(_optimize_final_module)
        6    0.000    0.000    0.033    0.005 passmanagers.py:203(run)
        1    0.000    0.000    0.032    0.032 image.py:1(<module>)
      635    0.032    0.000    0.032    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.032    0.032 pyplot.py:206(switch_backend)
   296564    0.031    0.000    0.031    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.031    0.016 parser.py:1(<module>)
       89    0.001    0.000    0.031    0.000 overload_glue.py:82(inner)
48136/48110    0.023    0.000    0.031    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.030    0.030 numeric.py:1(<module>)
        1    0.000    0.000    0.030    0.030 axis3d.py:1(<module>)
      340    0.030    0.000    0.030    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.030    0.030 feedparser.py:1(<module>)
     3857    0.001    0.000    0.030    0.000 ir.py:346(list_vars)
       21    0.000    0.000    0.030    0.001 module.py:233(__repr__)
     2204    0.013    0.000    0.030    0.000 version.py:261(__init__)
     1093    0.002    0.000    0.029    0.000 __init__.py:2778(_get_metadata)
       21    0.000    0.000    0.029    0.001 module.py:207(_get_body_lines)
       21    0.000    0.000    0.029    0.001 module.py:212(<listcomp>)
        1    0.000    0.000    0.029    0.029 cm.py:1(<module>)
      224    0.001    0.000    0.029    0.000 npydecl.py:202(generic)
        3    0.000    0.000    0.029    0.010 __init__.py:51(create_module)
        3    0.000    0.000    0.029    0.010 __init__.py:29(load_module)
       43    0.000    0.000    0.028    0.001 values.py:1000(__str__)
       43    0.000    0.000    0.028    0.001 values.py:993(descr)
      232    0.002    0.000    0.028    0.000 npydecl.py:98(generic)
      166    0.001    0.000    0.027    0.000 extending.py:205(decorate)
        1    0.000    0.000    0.027    0.027 category.py:1(<module>)
      162    0.000    0.000    0.027    0.000 __init__.py:2992(_reload_version)
        1    0.000    0.000    0.027    0.027 quiver.py:1(<module>)
        1    0.000    0.000    0.027    0.027 pyplot.py:267(backend_mod)
        1    0.000    0.000    0.027    0.027 lowering.py:296(create_cpython_wrapper)
       20    0.004    0.000    0.027    0.001 analysis.py:23(compute_use_defs)
        1    0.000    0.000    0.027    0.027 cpu.py:175(create_cpython_wrapper)
      162    0.000    0.000    0.027    0.000 __init__.py:2783(_get_version)
        1    0.000    0.000    0.026    0.026 backend_tkagg.py:1(<module>)
    11291    0.026    0.000    0.026    0.000 {method 'search' of 're.Pattern' objects}
      162    0.000    0.000    0.026    0.000 __init__.py:2561(_version_from_file)
    24584    0.015    0.000    0.026    0.000 enum.py:359(__call__)
        4    0.001    0.000    0.026    0.006 registry.py:54(apply)
    41365    0.025    0.000    0.025    0.000 {method 'split' of 'str' objects}
4726/2219    0.004    0.000    0.025    0.000 _utils.py:44(__str__)
        1    0.000    0.000    0.025    0.025 parfor_lowering.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _parser.py:1(<module>)
      216    0.014    0.000    0.025    0.000 artist.py:1358(<listcomp>)
        1    0.000    0.000    0.025    0.025 py3k.py:1(<module>)
      254    0.001    0.000    0.025    0.000 __init__.py:2035(_by_version)
        1    0.000    0.000    0.025    0.025 _policybase.py:1(<module>)
      720    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       11    0.000    0.000    0.025    0.002 values.py:986(descr_body)
   137603    0.025    0.000    0.025    0.000 {method 'startswith' of 'str' objects}
      144    0.000    0.000    0.025    0.000 values.py:1129(descr)
        5    0.000    0.000    0.024    0.005 codegen.py:733(add_llvm_module)
        1    0.000    0.000    0.024    0.024 _backend_tk.py:1(<module>)
     1213    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       18    0.000    0.000    0.024    0.001 postproc.py:41(usedefs)
        3    0.000    0.000    0.024    0.008 core.py:1(<module>)
        1    0.000    0.000    0.024    0.024 textpath.py:1(<module>)
      144    0.000    0.000    0.024    0.000 values.py:1131(<listcomp>)
     8930    0.014    0.000    0.024    0.000 inspect.py:612(unwrap)
     1142    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1264    0.002    0.000    0.023    0.000 __init__.py:627(__setitem__)
    53/51    0.000    0.000    0.023    0.000 __init__.py:10(__getattr__)
        2    0.000    0.000    0.023    0.011 untyped_passes.py:79(run_pass)
        2    0.000    0.000    0.023    0.011 interpreter.py:336(interpret)
      254    0.001    0.000    0.023    0.000 __init__.py:2041(<listcomp>)
        5    0.000    0.000    0.023    0.005 codegen.py:652(_optimize_functions)
        1    0.000    0.000    0.022    0.022 rules.py:1(<module>)
     1016    0.002    0.000    0.022    0.000 __init__.py:2026(try_parse)
        2    0.000    0.000    0.022    0.011 shape_base.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _add_newdocs_scalars.py:1(<module>)
