LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.386, Time: 3.374729 s
         2814606 function calls (2802476 primitive calls) in 4.714 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      776    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
    353/3    0.011    0.000    1.304    0.435 <frozen importlib._bootstrap>:1022(_find_and_load)
        7    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap>:1038(_gcd_import)
   569/83    0.001    0.000    1.136    0.014 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      776    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
      353    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      353    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
      353    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      776    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      355    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      423    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    505/4    0.000    0.000    1.301    0.325 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     3144    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      595    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:391(cached)
      719    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      334    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      282    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      334    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  334/332    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    334/4    0.002    0.000    1.301    0.325 <frozen importlib._bootstrap>:664(_load_unlocked)
      355    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      325    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      997    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      997    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      345    0.002    0.000    0.101    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    349/3    0.002    0.000    1.304    0.435 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      282    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      282    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      282    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      282    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
       31    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
