#=====================================================
# File created:        Tue-07-Nov-2023-at-11-41-17PM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        35.259750
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22686.8538  0.2534 
   00001    0.6775  -33652.5753  0.2529 
   00002    0.6202  -40742.9459  0.2548 
   00003    0.5860  -45604.9557  0.2570 
   00004    0.5554  -49487.3600  0.2567 
   00005    0.5384  -52587.6384  0.2546 
   00006    0.5261  -54972.6137  0.2523 
   00007    0.5040  -57156.7029  0.2546 
   00008    0.4992  -58872.8021  0.2524 
   00009    0.4943  -60489.9547  0.2545 
   00010    0.4787  -61588.7271  0.2564 
   00011    0.4780  -62719.7586  0.2585 
   00012    0.4704  -63725.7391  0.2593 
   00013    0.4668  -64578.9300  0.2565 
   00014    0.4662  -65416.0977  0.2585 
   00015    0.4616  -66124.3926  0.2582 
   00016    0.4552  -66676.9357  0.2605 
   00017    0.4557  -67324.0586  0.2622 
   00018    0.4470  -67963.6912  0.2653 
   00019    0.4505  -68326.4382  0.2655 
   00020    0.4436  -68681.6534  0.2679 
   00021    0.4481  -69116.7084  0.2696 
   00022    0.4472  -69331.2241  0.2720 
   00023    0.4446  -69605.6867  0.2751 
   00024    0.4430  -69947.8562  0.2772 
   00025    0.4389  -70249.7466  0.2786 
   00026    0.4360  -70478.0669  0.2798 
   00027    0.4430  -70636.3926  0.2815 
   00028    0.4353  -70877.1123  0.2798 
   00029    0.4361  -71030.8566  0.2799 
   00030    0.4339  -71151.2187  0.2818 
   00031    0.4383  -71463.8306  0.2815 
   00032    0.4304  -71780.2464  0.2800 
   00033    0.4320  -71860.1908  0.2834 
   00034    0.4357  -72039.2844  0.2841 
   00035    0.4310  -72006.2074  0.2861 
   00036    0.4313  -72132.5317  0.2874 
   00037    0.4300  -72298.2928  0.2866 
   00038    0.4314  -72349.5059  0.2864 
   00039    0.4344  -72496.7211  0.2858 
   00040    0.4270  -72604.4639  0.2865 
   00041    0.4303  -72662.9420  0.2864 
   00042    0.4302  -72730.6859  0.2873 
   00043    0.4265  -72771.4105  0.2876 
   00044    0.4264  -72936.2340  0.2863 
   00045    0.4270  -72996.1772  0.2880 
   00046    0.4273  -73142.1537  0.2901 
   00047    0.4260  -73221.4133  0.2900 
   00048    0.4251  -73416.6912  0.2896 
   00049    0.4281  -73420.7687  0.2873 
   00050    0.4301  -73420.1031  0.2868 
