#=====================================================
# File created:        Tue-07-Nov-2023-at-11-03-17PM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        6.769724
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22819.3864  0.2509 
   00001    0.6764  -33821.5644  0.2511 
   00002    0.6192  -40818.2516  0.2508 
   00003    0.5814  -45970.6082  0.2511 
   00004    0.5512  -49835.9321  0.2514 
   00005    0.5364  -52897.7975  0.2515 
   00006    0.5159  -55562.8197  0.2541 
   00007    0.5062  -57599.0062  0.2545 
   00008    0.4978  -59189.1536  0.2561 
   00009    0.4860  -60668.3515  0.2536 
   00010    0.4771  -61800.4360  0.2526 
   00011    0.4795  -62982.6106  0.2529 
   00012    0.4700  -63822.6035  0.2543 
   00013    0.4690  -64717.8128  0.2508 
   00014    0.4650  -65450.6926  0.2522 
   00015    0.4590  -65976.6889  0.2534 
   00016    0.4542  -66514.3688  0.2529 
   00017    0.4529  -66864.1907  0.2518 
   00018    0.4559  -67384.8018  0.2525 
   00019    0.4492  -67917.0912  0.2531 
   00020    0.4426  -68266.2764  0.2524 
   00021    0.4459  -68612.5212  0.2529 
   00022    0.4479  -69016.8486  0.2516 
   00023    0.4423  -69361.1006  0.2527 
   00024    0.4408  -69721.5070  0.2521 
   00025    0.4396  -70058.7037  0.2539 
   00026    0.4364  -70223.2705  0.2543 
   00027    0.4416  -70303.6459  0.2537 
   00028    0.4422  -70632.2183  0.2525 
   00029    0.4335  -70750.9492  0.2534 
   00030    0.4322  -70980.2720  0.2539 
   00031    0.4347  -71346.7423  0.2565 
   00032    0.4343  -71504.4083  0.2565 
   00033    0.4263  -71435.0953  0.2582 
   00034    0.4336  -71741.5731  0.2601 
   00035    0.4314  -71833.6089  0.2604 
   00036    0.4331  -71984.1457  0.2621 
   00037    0.4352  -71889.8914  0.2624 
   00038    0.4326  -72015.5858  0.2637 
   00039    0.4312  -72181.1285  0.2623 
   00040    0.4304  -72354.9737  0.2637 
   00041    0.4257  -72251.1139  0.2618 
   00042    0.4299  -72363.4716  0.2633 
   00043    0.4240  -72594.2693  0.2630 
   00044    0.4224  -72577.2228  0.2643 
   00045    0.4284  -72701.8071  0.2628 
   00046    0.4256  -72756.8298  0.2638 
   00047    0.4238  -72825.7191  0.2651 
   00048    0.4275  -72863.8994  0.2650 
   00049    0.4295  -72883.5866  0.2659 
   00050    0.4219  -72818.2468  0.2657 
