#=====================================================
# File created:        Wed-08-Nov-2023-at-12-33-15AM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        7.437757
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5784.9461  0.2523 
   00001    0.6789   -8397.5332  0.2266 
   00002    0.6228  -10229.2931  0.1631 
   00003    0.5822  -11425.7478  0.1324 
   00004    0.5547  -12426.8393  0.2059 
   00005    0.5477  -13207.8967  0.1761 
   00006    0.5152  -13718.0156  0.1705 
   00007    0.5013  -14251.6223  0.1100 
   00008    0.5051  -14672.0000  0.0620 
   00009    0.4978  -14986.4192  0.0622 
   00010    0.4775  -15302.6282  0.1018 
   00011    0.4860  -15621.3867  0.0992 
   00012    0.4665  -15862.9157  0.1210 
   00013    0.4711  -16069.9931  0.1169 
   00014    0.4704  -16324.2213  0.1471 
   00015    0.4587  -16472.0252  0.2412 
   00016    0.4583  -16648.8869  0.2262 
   00017    0.4437  -16889.9650  0.2473 
   00018    0.4517  -16969.5905  0.2897 
   00019    0.4535  -17115.0815  0.2659 
   00020    0.4496  -17132.2834  0.3390 
   00021    0.4379  -17225.9684  0.3367 
   00022    0.4530  -17383.8208  0.3078 
   00023    0.4359  -17477.6588  0.2895 
   00024    0.4325  -17527.2223  0.2889 
   00025    0.4421  -17589.1980  0.3543 
   00026    0.4315  -17608.2310  0.3355 
   00027    0.4375  -17645.2962  0.2991 
   00028    0.4412  -17735.2229  0.2767 
   00029    0.4341  -17770.7616  0.2220 
   00030    0.4325  -17936.6619  0.2285 
   00031    0.4416  -17871.1664  0.2727 
   00032    0.4414  -17892.7801  0.2789 
   00033    0.4226  -17995.7283  0.2749 
   00034    0.4306  -18013.7304  0.2930 
   00035    0.4222  -18015.3252  0.2908 
   00036    0.4274  -18049.7089  0.2777 
   00037    0.4240  -18012.5301  0.3153 
   00038    0.4252  -18040.2582  0.2740 
   00039    0.4224  -18081.3807  0.2546 
   00040    0.4180  -18109.7058  0.2829 
   00041    0.4297  -18093.6605  0.2900 
   00042    0.4290  -18112.9715  0.2767 
   00043    0.4244  -18144.7895  0.2551 
   00044    0.4309  -18186.4851  0.2572 
   00045    0.4274  -18229.6558  0.2617 
   00046    0.4274  -18236.0061  0.2491 
   00047    0.4348  -18191.8679  0.2308 
   00048    0.4265  -18246.9636  0.2365 
   00049    0.4384  -18292.7709  0.2289 
   00050    0.4309  -18295.7309  0.2468 
